"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belarus","BLR","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15422821","4.25791645","4.07934141","4.38554096","4.39936543","4.52236795","3.9855392","3.99474669","3.48282266","3.48038435","3.84921932","3.08841538","3.44369793","3.56868172","3.37288022","3.68674207","4.19298792","3.98054695","3.9000001","4.12526941","4.54088545","4.87342072","4.44357491","4.7274251","","",
"Belize","BLZ","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.35279799","1.76350856","1.82957494","1.75257611","1.7102828","1.78223765","1.97383273","2.37503958","2.91308498","2.89427853","2.97982311","2.98816276","2.86571932","2.92492223","3.03495717","3.17137766","3.35043669","3.2159059","3.27672195","3.31428432","3.79881597","3.51546001","2.61415029","2.69897199","","",
"Bermuda","BMU","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43201661","2.61401916","2.60214591","2.75486469","2.53551769","2.7536962","2.61106277","2.7755425","2.70188808","3.15830708","3.05729318","3.02061009","2.9963541","3.26242685","3.69240737","4.30645275","4.4294467","4.44758177","4.79799795","4.89661789","5.80238628","5.88253403","4.61549664","4.65502548","","",
"Brazil","BRA","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47014546","3.51298475","3.6863513","3.50954437","3.46692538","3.34525418","3.54130626","3.48462701","3.50441861","3.70742011","3.57701325","3.46567941","3.35463309","3.55113959","3.69886327","3.85396719","3.94799495","3.95315194","3.88924217","3.91702151","4.17190552","4.30673981","4.25969172","4.29392195","","",
"Barbados","BRB","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5543673","2.71995711","2.89702082","3.47478461","3.98423481","3.51634121","3.32250285","2.92400503","3.17477036","3.4388876","3.18992829","2.93728137","3.79151535","3.33373475","2.87362003","2.84907889","2.85200191","2.7041471","2.65220022","2.54682422","3.32207417","4.04128695","2.6457088","2.25056767","","",
"Brunei Darussalam","BRN","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14453936","2.11852527","2.11855745","2.15882659","2.12041497","1.86898351","1.62710452","1.69323945","1.68647766","2.1657393","2.09004593","1.70617342","1.68712533","1.71973145","1.77395678","2.26836538","2.42138696","2.14737701","2.29566693","2.10503411","2.30922484","1.99766231","1.6302222","2.06224728","","",
"Bhutan","BTN","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29712725","3.29277039","3.09706593","2.65240765","2.81644845","2.44967246","2.28304935","2.47752094","2.17638206","2.43460202","2.3471601","2.21770048","2.26811028","2.3066659","2.23058915","2.55167842","2.42386007","2.31912565","2.44134831","2.4829967","3.18623781","2.31712747","2.13837457","2.9429884","","",
"Botswana","BWA","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2540555","3.50531387","3.76324773","3.60058308","3.4343946","2.86616707","2.79110265","3.12948751","3.66806316","3.41018438","3.60705996","3.60456705","4.09601831","4.15482092","3.99039125","4.13518047","3.83726597","5.01613283","4.14253378","4.37294102","4.48994827","4.82830048","4.30745316","4.72067308","","",
"Central African Republic","CAF","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7200942","1.51679921","1.434237","1.54274023","1.4743973","1.03554976","1.22708309","1.27105796","0.84676838","0.73201287","0.57671779","0.41518956","0.62262207","0.98418158","0.71106249","0.45585203","0.59953427","0.72881997","0.68853283","0.81889474","1.22141719","1.26395118","1.49499202","1.53037214","","",
